fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7
6109,38.021451,-119.964708,1570,0.0003,0.0038,0.0313,0.1112,0.1904,0.5263,0.11199999999999999,0.0247,0.10400000000000001,0.2695,0.3145,0.3079,0.0041,0.0,0.0,0.0128999995067716,19.129083633422898,74.0402450561523,6.81777191162109,0.0,6.81777191162109,3,2,1,1,1,1,1
6111,34.358742,-119.13314299999999,67,0.0563,0.4106,0.265,0.0709,0.0486,0.1048,0.0308,0.013000000000000001,0.0524,0.1444,0.2079,0.1284,0.4669,0.0,0.0,0.0,6.73597526550293,17.9599323272705,0.436431884765625,74.86766052246091,75.30409240722659,1,1,1,2,1,1,1
6113,38.679268,-121.903178,30,0.1847,0.7147,0.0986,0.002,0.0,0.0,0.0,0.0,0.0202,0.0398,0.0216,0.019,0.8994,0.0,0.0,0.0,5.126426696777339,17.0832138061523,0.302642822265625,77.4877166748047,77.7903594970703,1,1,2,1,1,1,2
6115,39.270026,-121.34428,260,0.0012,0.0162,0.0908,0.2251,0.2192,0.3521,0.0778,0.0176,0.223,0.2101,0.1804,0.3691,0.0174,0.0,0.0,0.746892392635345,34.6775588989258,60.0232963562012,4.15220928192139,0.40004310011863703,4.552252292633059,1,1,1,1,1,1,1
48001,31.841265999999997,-95.661744,151,0.0163,0.1834,0.46799999999999997,0.2904,0.0388,0.0031,0.0,0.0,0.1768,0.2439,0.2015,0.1781,0.1997,0.0,0.0,5.082600116729741,12.429584503173801,32.0530776977539,50.254310607910206,0.18042589724063898,50.43473815917971,3,2,1,1,1,1,1
48003,32.312258,-102.640206,972,0.1259,0.7023,0.1714,0.0004,0.0,0.0,0.0,0.0,0.0402,0.0435,0.0398,0.0483,0.8282,0.0,41.5794258117676,0.0388999991118908,58.3816719055176,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1
48005,31.251951000000002,-94.611056,82,0.0436,0.3783,0.4833,0.0943,0.0005,0.0,0.0,0.0,0.1061,0.1599,0.1586,0.1535,0.4219,0.0,0.0,0.35805353522300704,9.6556339263916,89.89624786376949,0.0714184120297432,0.018646439537406002,0.0900648534297943,3,2,1,1,1,1,1
48007,28.104225,-96.977983,3,0.1137,0.2243,0.0173,0.0,0.0,0.0,0.0,0.0,0.0038,0.0048,0.0039,0.0048,0.33799999999999997,82.98789978027341,0.0,0.0120999999344349,15.350651741027802,0.303482055664063,1.34586596488953,0.0,1.34586596488953,1,1,2,3,1,1,4
48009,33.616305,-98.687267,322,0.0819,0.632,0.2724,0.0133,0.0004,0.0,0.0,0.0,0.0825,0.0746,0.0498,0.0792,0.7139,0.0,0.0,0.0245999991893768,66.47377777099611,0.353141844272614,33.1366806030273,0.0117988102138042,33.1484794616699,1,1,1,1,1,1,1
48011,34.964179,-101.356636,1015,0.0563,0.3818,0.2384,0.2,0.0969,0.0266,0.0,0.0,0.1536,0.1945,0.1178,0.096,0.4381,0.0,0.0,0.05889999866485599,69.16013336181639,28.9949169158936,0.0,1.78604698181152,1.78604698181152,1,1,1,1,1,1,1
